country,name,address,source_address,website_as_listed,phone_as_listed,type,address_note
Austria,Keramikbedarf,"Hausmannstättener Straße 33, 8072 Fernitz-Mellach, Austria","Hausmannstaettener Str. 33, Fernitz - Mellach, Austria A-8072",http://www.keramikbedarf.net/,4-331-354-6342,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Belgium,Colpaert - Van Leemputten,"Ter Mote 5, 9850 Nevele, Belgium","Ter Mote 5, Nevele, Belgium B-9850",https://www.colpaertonline.be/,00-329-226-2826,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Belgium,Eurolijsten nv,"Tulpenstraat 13, 9810 Nazareth-De Pinte, Belgium","Tulpenstraat 13, 9810 Nazareth – De Pinte, Belgium",https://www.eurolijsten.be/,697-679-0114,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Belgium,Select Style,"Dreef ter Panne 1A, 8000 Bruges, Belgium","Dreef ter Panne 1a, Brugge, Belgium 8000",https://cosplayshop.be/en/,0032 50 34 20 88,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Cyprus,AIGAIA School of Art & Design,"81 Agion Omologiton Avenue, 1080 Nicosia, Cyprus","81, Agion Omologiton, Nicosia, Cyprus 1080",https://www.aigaia.com.cy/,+357 22 445757,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Czech Republic,Propec,"Pražská 691, 250 82 Úvaly, Czech Republic","Prazska 691, Uvaly, Czech Republic 250 82",https://www.propec.cz/,060-471-6447,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Denmark,Cerama,"Hammerholmen 44–48, 2650 Hvidovre, Denmark","Hammerholmen 44-48, Averdore Holme, Hvidovre, Denmark 2650",https://cerama.dk/,453-677-2222,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Denmark,Keramikfryd,"Præstegårds Allé 51, 2700 Brønshøj, Denmark","Praestegaard Allé 51, Brønshøj, DK-2700",https://www.keramikfryd.dk,,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Finland,Kerasil,"Ilvestie 6, 01900 Nurmijärvi, Finland","Ilvestie 6, Nurmijarvi, Finland 01900",http://www.kerasil.fi/,820-763-9870,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,CERAM DÉCOR Besançon,"ZA de Terre Rouge, Rue de Terre Rouge, Bâtiment 9, 25220 Roche-lez-Beaupré, France","ZA DE TERRE ROUGE RUE DE TERRE ROUGE, BÂTIMENT 9, ROCHE LEZ BEAUPRÉ, 25220",https://www.ceram-decor.fr,03 81 55 57 79,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,CERAM DÉCOR LA POTERIE DU VIEUX BAC,"905 avenue des Nations Unies, 59270 Bailleul, France","905 avenue des Nations unies, BAILLEUL, 59270",https://www.ceram-decor.fr,03 28 49 92 62,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,CERAM DÉCOR Lyon,"58 rue des Sources, Bâtiment B, 69230 Saint-Genis-Laval, France","58 RUE DES SOURCES BÂTIMENT B, SAINT GENIS LAVAL, 69230",https://www.ceram-decor.fr,04 72 66 90 24,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,CERAM DÉCOR Saint Agnan,"660 route de Montastruc, 81500 Saint-Agnan, France","660 ROUTE DE MONTASTRUC, SAINT AGNAN, 81500",https://www.ceram-decor.fr,05 61 84 26 51,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,CERAM DÉCOR Sud,"ZA des 4 Chemins, 178 route de Besse, 83340 Flassans-sur-Issole, France","ZA DES 4 CHEMINS, 178 RTE DE BESSE, FLASSANS-SUR-ISSOLE, 83340",https://www.ceram-decor.fr,04 22 54 26 07,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,Ceradel Antibes,"370 rue des Cistes, ZI des Trois Moulins, 06600 Antibes, France","370 rue des Cistes ZI des 3 moulins, Antibes, France 06600",https://www.ceradel.fr/,04 93 64 00 46,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,Ceradel Limoges,"53 rue de la Filature, ZI Le Prouet, 87350 Panazol, France","53 rue de la Filature, ZI Le Prouet , 87350 Panazol, France",https://www.ceradel.fr/,335-535-0235,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,Ceradel Lyon,"8 rue Jean-Elysée Dupuis, ZI du Tronchon, 69410 Champagne-au-Mont-d’Or, France","8 rue Jean Elysée Dupuis ZI du Tronchon, Champagne au Mont d'Or, France 69410",https://www.ceradel.fr/,04 37 49 77 80,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,Ceradel Paris,"51 rue de Presles (entrance via 2 rue de la Motte), 93300 Aubervilliers, France","51 rue de Presles entrée par 2 rue de la Motte, Aubervilliers, France 93300",https://www.ceradel.fr/,01 48 11 11 11,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
France,Ceradel Toulouse,"22–24 boulevard de Thibaud, ZI Thibaud, 31084 Toulouse Cedex 1, France","22-24 Bd de Thibaut ZI Thibaut, Toulouse Cedex 1, France 31084",https://www.ceradel.fr/,05 61 43 82 40,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Germany,Andrea Wolbring Gmbh & Company,"Gutenbergstraße 9, 85646 Anzing, Germany","Gutenbergstraße 9, 85646, Anzing, Germany 85646",https://www.keramikbedarf-online.de/,+49 8121 7670900,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
