country,region,name,address,source_address,website_as_listed,email_as_listed,phone_as_listed,type,address_note,source_url
United States,California,"Aardvark Clay & Supply, Inc.","Santa Ana, California, 92705, United States","Santa Ana, California, 92705, United States",https://aardvarkclay.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Indiana,Act 3 Pottery & Supplies,"Connersville, Indiana, 47331, United States","Connersville, Indiana, 47331, United States",https://www.act3pottery.com/,,,Dealer,,https://www.maycocolors.com/distributors
United States,Ohio,"Adobi Ceramics, Inc.","Columbus, Ohio, 43219, United States","Columbus, Ohio, 43219, United States",,,,Distributor,,https://www.maycocolors.com/distributors
United States,Alabama,"Alabama Art Supply, Inc.","Birmingham, Alabama, 35205, United States","Birmingham, Alabama, 35205, United States",https://alabamaart.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Ohio,All Fired Up About Ceramics,"Wilmington, Ohio, 45177, United States","Wilmington, Ohio, 45177, United States",http://www.allfiredupaboutceramics.com/,,,Dealer,,https://www.maycocolors.com/distributors
United States,Utah,Allen’s Ceramics,"Odgen, Utah, 84404, United States","Odgen, Utah, 84404, United States",https://www.facebook.com/allensceramics/,,,Distributor,,https://www.maycocolors.com/distributors
United States,Mississippi,AlleyKat Ceramics,"Gulfport, Mississippi, 39507, United States","Gulfport, Mississippi, 39507, United States",https://alleykatceramics.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Georgia,"Allison Ceramic Supply, Inc.","Columbus, Georgia, 31907, United States","Columbus, Georgia, 31907, United States",https://allisonceramicsupply.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,California,Alpha Fired Arts,"Sacramento, California, 95841, United States","Sacramento, California, 95841, United States",http://www.alphafiredarts.com/,,,Distributor,,https://www.maycocolors.com/distributors
United States,Missouri,American Slip Company,"Pomona, Missouri, 65789, United States","Pomona, Missouri, 65789, United States",https://learnfiredarts.com/,,,Distributor,,https://www.maycocolors.com/distributors
United States,Montana,Archie Bray Foundation Clay,"Helena, Montana, 59602, United States","Helena, Montana, 59602, United States",http://archiebrayclay.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Texas,Armadillo Clay,"Austin, Texas, 78702, United States","Austin, Texas, 78702, United States",http://armadilloclay.com,,,Distributor,,https://www.maycocolors.com/distributors
