tier,domain,country,name,listed_by,platform,access,catalogue_size,size_source,brand_hits,shop_signals,glaze_urls,score,url,note
A,soundingstone.com,Canada,Sounding Stone,amaco/mayco,shopify,shopify /products.json,3721,api paginated (full),mayco:1474;spectrum:576;amaco:560;coyote:434;laguna:263;duncan:236;speedball:136;standard:2,cart,2154,16918,https://www.soundingstone.com/,
A,kruegerpottery.com,United States,Krueger Pottery Supply,amaco/mayco/spectrum,shopify,shopify /products.json,4455,api paginated (full),mayco:1509;amaco:802;coyote:328;spectrum:190;duncan:70;laguna:68;speedball:31;standard:12,cart,3083,16568,https://kruegerpottery.com,
A,gwnpottery.ca,Canada,GREAT WHITE NORTH SUPP.,spectrum,shopify,shopify /products.json,3327,api paginated (full),mayco:386;coyote:237;amaco:196;laguna:183;spectrum:181;speedball:5;standard:3;duncan:2,cart,4094,11000,https://www.gwnpottery.ca/,
A,thepotterscenter.com,United States,The Potter's Center,amaco/mayco,shopify,shopify /products.json,2833,api paginated (full),mayco:951;laguna:765;amaco:336;speedball:89;standard:15;duncan:3;spectrum:1,cart,1215,10528,https://thepotterscenter.com,
A,seattlepotterysupply.com,United States,Seattle Pottery LLC,amaco/mayco,shopify,shopify /products.json,3430,api paginated (full),mayco:659;amaco:384;coyote:177;laguna:20;speedball:10;standard:7;duncan:2,cart,3058,10265,https://seattlepotterysupply.com,
A,clay-king.com,United States,clay-king.com,amaco/mayco/spectrum,woocommerce,woo store api v1,9701,x-wp-total,mayco:6;standard:4;duncan:1;laguna:1,cart,451,10188,https://www.clay-king.com/,
A,chesapeakeceramics.com,United States,Chesapeake Ceramic Supply,amaco/mayco,shopify,shopify /products.json,2764,api paginated (full),mayco:919;laguna:46;duncan:21;amaco:9;standard:2,cart,2800,8555,https://chesapeakeceramics.com,
A,sheffield-pottery.com,United States,Sheffield Pottery,amaco/mayco/spectrum,shopify,shopify /products.json,3807,api paginated (full),amaco:142;spectrum:74;speedball:73;laguna:60;coyote:42;standard:31;mayco:15;duncan:2,cart,3148,8272,https://www.sheffield-pottery.com/,
A,alabamaart.com,United States,Alabama Art Supply,amaco/mayco/spectrum,shopify,shopify /products.json,4101,api paginated (full),amaco:529;mayco:482;spectrum:141;standard:107;speedball:38;duncan:7,cart,199,8212,https://www.alabamaart.com/,
A,amaranthstoneware.ca,Canada,AMARANTH STONEWARE,amaco/spectrum,shopify,shopify /products.json,1786,api paginated (full),amaco:401;mayco:361;coyote:254;spectrum:246;laguna:158;speedball:22;standard:1,cart,1339,7454,https://amaranthstoneware.ca,
A,archiebrayclay.com,United States,Archie Bray Foundation,amaco/mayco,shopify,shopify /products.json,2258,api paginated (full),mayco:322;coyote:290;laguna:143;speedball:104;standard:5;amaco:1,cart,2453,7306,https://archiebrayclay.com,
A,ceramic-supply-inc.myshopify.com,United States,Ceramic Supply Incorporated,amaco/mayco,shopify,shopify /products.json,1697,api paginated (full),mayco:464;amaco:287;spectrum:177;standard:129;speedball:118;laguna:36,cart,1777,7107,https://ceramic-supply-inc.myshopify.com,
A,lagunaclay.com,United States,Laguna Clay Company,amaco,shopify,shopify /products.json,1876,api paginated (full),laguna:775;standard:9;speedball:6;amaco:1,cart,2103,6352,https://www.lagunaclay.com/,
A,clayscapespottery.com,United States,Clayscapes Pottery Incorporated,amaco/mayco,shopify,shopify /products.json,1278,api paginated (full),mayco:539;amaco:381;speedball:160;laguna:101;standard:9,cart,1479,6327,https://www.clayscapespottery.com/,
A,ceramicstoreinc.com,United States,Ceramic Store Houston,mayco/spectrum,shopify,shopify /products.json,2718,api paginated (full),standard:31;mayco:8;speedball:3;amaco:1;laguna:1,cart,2731,5581,https://ceramicstoreinc.com,
A,texasart.com,United States,Texas Art Supply Company,amaco,shopify,shopify /products.json,5000,api paginated (5000 cap),speedball:108;standard:9;amaco:6;spectrum:3,cart,117,5495,https://www.texasart.com/,size is a floor: pagination capped at 5000
A,deserres.ca,Canada,Deserres Incorporated,amaco,shopify,shopify /products.json,5000,api paginated (5000 cap),standard:55;speedball:31;spectrum:3;sio-2:3,cart,132,5408,https://www.deserres.ca/,size is a floor: pagination capped at 5000
