tier,domain,country,name,listed_by,platform,access,catalogue_size,size_source,brand_hits,shop_signals,glaze_urls,score,url,note
A,poterieduvieuxbac.com,France,Poterie du Vieux Bac,mayco,shopify,shopify /products.json (needs curl_cffi impersonation),250,"api page1 (250+, paginates)",mayco:42;botz:5,,0,9999,https://poterieduvieuxbac.com,"vendor field populated (Rohde 113, Mayco 14, Nabertherm 46); kiln-heavy"
A,potterycrafts.co.uk,United Kingdom,POTTERY CRAFTS LIMITED,amaco/mayco/sio2/spectrum,shopify,shopify /products.json,250,"api page1 (250+, paginates)",mayco:812;spectrum:283;amaco:282;terracolor:151;botz:93;duncan:23,,1586,6543,https://potterycrafts.co.uk,
A,corbykilns.co.uk,United Kingdom,Corby Kilns,mayco,woocommerce,woo store api /wp-json/wc/store/v1/products,2571,api count,mayco:815;amaco:229;botz:94;spectrum:66;terracolor:17;duncan:3,,0,3929,https://corbykilns.co.uk,
A,argile.nl,Netherlands,Art d’Argile,mayco,woocommerce,woo store api /wp-json/wc/store/v1/products,4567,api count,mayco:614;botz:249;terracolor:162;amaco:156,,0,3843,https://hazelaar.nl/,
A,kettlespotterysupplies.com,United Kingdom,Kettles Pottery Supplies,mayco,shopify,shopify /products.json,250,"api page1 (250+, paginates)",botz:383;mayco:290;amaco:129;terracolor:34;spectrum:4,,441,2986,https://www.kettlespotterysupplies.com/,
A,at-ceramika.pl,Poland,Kamionka/At Ceramika,mayco,woocommerce,woo store api /wp-json/wc/store/v1/products,1584,api count,botz:315;mayco:149;amaco:132;spectrum:12;terracolor:3,,829,2820,https://pckamionka.pl/,
A,keramikbedarf.ch,Switzerland,Michel Keramikbedarf,mayco/spectrum,woocommerce,woo store api /wp-json/wc/store/v1/products,1972,api count,amaco:207;terracolor:148;mayco:140;spectrum:28;duncan:6,,906,2690,https://keramikbedarf.ch,
A,tallergingell.com,Spain,Taller Gingell,amaco,shopify,shopify /products.json,250,"api page1 (250+, paginates)",amaco:744;spectrum:1,,246,2506,https://tallergingell.com,
A,hot-clay.com,United Kingdom,Hot Clay,amaco/mayco/spectrum,shopify,shopify /products.json,250,"api page1 (250+, paginates)",spectrum:140;mayco:138;botz:94;amaco:57;sio-2:2,,1007,2325,https://www.hot-clay.com/,
A,ceramistashop.pt,Portugal,Ceramista Shop (Lisboa),amaco,shopify,shopify /products.json,250,"api page1 (250+, paginates)",amaco:585;botz:82;mayco:56,,60,2254,https://ceramistashop.pt,
