country,name,address,source_address,website_or_note_as_listed,email_as_listed,phone_as_listed,type,address_note
Austria,KERAMIK BEDARF,"Hausmannstättener Straße 33, 8072 Fernitz-Mellach, Austria",Hausmannstattener Str. 33 8072 Fernitz-Mellach 03135-46342,,,03135-46342,Distributor,Corrected address spelling/structure.
Austria,KERAMIK-KRAFT Wien,"Energiestraße 10, 2540 Bad Vöslau, Austria",Energiestraße 10 2540 Bad Vöslau +43 (0) 2252 - 2,www.keramik-kraft.at,,+43 (0) 2252 - 2,Distributor,Corrected address spelling/structure.
Austria,TÖPFEREIBEDARF ING. LEHRER,"Paschinger Straße 4 4060 Leonding, Austria",Paschinger Straße 4 4060 Leonding +43 (0)732 67443,www.keramik.at/,,+43 (0)732 67443,Distributor,Removed phone number from address and added country.
Austria,TÖPFEREIBEDARF LEHRER,"Trattengasse 19 9500 Villach, Austria",Trattengasse 19 9500 Villach +43 (0)4242 2940,www.keramik.at,,+43 (0)4242 2940,Distributor,Removed phone number from address and added country.
Belgium,ARGILIÈRES HINS,"Chaussée de Wavre, 461 1390 Grez-Doiceau (Gastuche), Belgium","Chaussée de Wavre, 461 1390 Grez-Doiceau (Gastuche) 071 68 83 54",www.hins.be,,071 68 83 54,Distributor,Removed phone number from address and added country.
Belgium,CREAKOR,"Edewallestraat 90A, 8610 Kortemark, Belgium",Edewallestraat 90/A 8610 Kortemark +32 (0) 51 589 5,www.creakor.com,,+32 (0) 51 589 5,Distributor,Corrected address spelling/structure.
Belgium,Colpaert - Van Leemputten BVBA,"Ter Mote 5, 9850 Nevele, Belgium",Ter Mote 5 9850 Nevele 0032 9 226 28 26,www.colpaertonline.be,,0032 9 226 28 26,Distributor,Corrected address spelling/structure.
Bulgaria,CERAMICA TROYAN LTD,"Makedonia 56, 5600 Troyan, Bulgaria",Makedonia 56 5600 Troyan +359878999780,www.ceramica-troyan.bg,,+359878999780,Distributor,Corrected address spelling/structure.
Croatia,RAVITERA d.o.o.,"Stara cesta 39, Orešje 10434 Strmec Samoborski, Croatia","Stara cesta 39, Orešje 10434 Strmec Samoborski +385 1 6560453",www.keramica.info,,+385 1 6560453,Distributor,Removed phone number from address and added country.
Cyprus,THE MAKERS SPACE,"Agios Neophytos Avenue, 8577 Tala, Paphos District, Cyprus","Agios Neophytos Avenue 8577 Tala, Paphos District +357 96894368",www.themakersspace.eu,,+357 96894368,Distributor,Corrected address spelling/structure.
Czech Republic,PROPEC,"Pražská 691, 250 82 Úvaly, Czech Republic",Pražská 691 250 82 Úvaly +420 281 981 572,www.propec.cz,,+420 281 981 572,Distributor,Corrected address spelling/structure.
Denmark,CERAMA,"Hammerholmen 44 F 2650 Hvidovre, Denmark",Hammerholmen 44 F 2650 Hvidovre +45 36772222,www.cerama.dk,,+45 36772222,Distributor,Removed phone number from address and added country.
Finland,KERASIL,"Ilvestie 6, 01900 Nurmijärvi, Finland",Ilvestie 6 01900 Nurmijärvi +358 207 639 870,www.kerasil.fi,,+358 207 639 870,Distributor,Corrected address spelling/structure.
France,3D POTTER FRANCE (Pâtes pour impression 3D),"Tygre – Village des Créateurs, Passage Thiaffait, 69001 Lyon, France","Tygre - Village des Créateurs, Pass. Thiaffait, 69001 69001 Lyon 0687110849",www.3dpotter.fr/,,0687110849,Distributor,Corrected address spelling/structure.
France,CERADEL Limoges,"ZA Le Prouet, 53 rue de la Filature, 87350 Panazol, France","ZA Le Prouet, 53 Rue de la Filature 87350 Panazol 05 55 35 02 35",www.ceradel.fr,,05 55 35 02 35,Distributor,Corrected address spelling/structure.
France,CERADEL Lyon,"8 rue Jean-Elysée Dupuy, 69410 Champagne-au-Mont-d’Or, France",8 Rue Jean Elysée Dupuy 69410 Champagne-au-Mont-d'Or 04 37 49 77 80,www.ceradel.fr,,04 37 49 77 80,Distributor,Corrected address spelling/structure.
