country,name,address,source_address,website_as_listed,email_as_listed,phone_as_listed,type,address_note
Austria,Keramik-Kraft Austria,"Energiestraße 10, 2540 Bad Vöslau, Austria","Energiestr.10, 2540 Bad Voeslau, Austria",,[email protected],43 2252 251557,Distributor,"Normalized spelling, address order, and postcode formatting."
Austria,Keramikbedarf Ing. Tripp + Partner OG,"Hausmannstättener Straße 33, 8072 Fernitz-Mellach, Austria","Hausmannstattener Str. 33, Fernitz-Mellach, Styria A8072, Austria",http://www.keramikbedarf.net,,43 0 3135 46342,Distributor,"Normalized spelling, address order, and postcode formatting."
Czech Republic,Artik Studio S.R.O.,"Raisova 574/4, 400 03 Ústí nad Labem, Czech Republic","Raisova 574/4, 400 03, Czech Republic",http://www.keramickepece.cz,,011 420 475 532 414,Distributor,Added missing city; verified against the business address.
Denmark,Keramikfryd ApS,"Præstegårds Allé 51, 2700 Brønshøj, Denmark","KERAMIKFRYD APS, PRAESTEGAARDS ALLE 51, BROENSHOEJ DK2700",,[email protected],452 8600222,Distributor,Corrected business name and Danish spelling; verified against the registered business address.
Estonia,OU KERAMIA,"Vana-Narva mnt 22A, 74114 Maardu, Estonia","VANA-NARVA MNT 22A, 74114 MAARDU, ESTONIA",,,7 921 930 5432,Distributor,"Normalized spelling, address order, and postcode formatting."
Finland,Kerasil Oy,"Ilvestie 6, 01900 Nurmijärvi, Finland","ILVESTIE 6, 01900 NURMIJARVI, FINLAND, 358 20 76 398 70",https://www.kerasil.fi/,,358 9 8553050,Distributor,"Normalized spelling, address order, and postcode formatting."
France,Ceram Decor Lyon,"58 rue des Sources, ZI La Mouche, 69230 Saint-Genis-Laval, France","58 Rue des Sources, Z.I. La Mouche, 69230 Saint-Genis-Laval, France",http://www.ceram-decor.fr,,011 33 472 669024,Distributor,"Normalized spelling, address order, and postcode formatting."
France,Les Cousins,"160 rue des Quatre-Termes, ZI Les Paluds, BP 1124, 13782 Aubagne Cedex, France","160 Rue des 4 Termes, Z.I. Les Paluds -B.P.1124, 13782 Aubagne Cedex",http://lescousins.fr/,,33 442 822626,Distributor,"Normalized spelling, address order, and postcode formatting."
France,S.A.S. Ceradel-Socor,"53 rue de la Filature, ZI Le Prouet, 87350 Panazol, France","53 Rue de la Filature, ZI Le Prouet, Panazol 87350, France",http://www.ceradel.fr,,33 0 55 35 02 48,Distributor,"Normalized spelling, address order, and postcode formatting."
Germany,Keramik-Kraft,"Industriestraße 28, 91227 Diepersdorf bei Nürnberg, Germany","Industriestr. 28, D-91227, Diepersdorf b.Nurnberg",https://www.keramik-kraft.com/,,49 9120 1846 165,Distributor,"Normalized spelling, address order, and postcode formatting."
Netherlands,SILEX / TOTAAL SERVICE B.V.,"De Meerheuvel 5, 5221 EA ’s-Hertogenbosch, Netherlands","DE MEERHEUVEL 5, 5221 EA, S. HERTOGENBOSCH 07363-1252",https://www.silexshop.nl/,,31 073 6312528,Distributor,Corrected locality to ’s-Hertogenbosch.
Poland,1240 DESIGN SP.Z.O.O.,"Aleja Wyścigowa 14A/204, 02-681 Warsaw, Poland","AL WYSCIGOWA 14A/204, 02-681, WARSAW, POLAND, 1240design",https://1240.design/en/manufacturers,,48 605853110,Distributor,"Normalized spelling, address order, and postcode formatting."
Spain,Ceramica Collet S.A.,"Polígono Industrial L’Olana, s/n, Apartado 205, 08292 Esparreguera, Barcelona, Spain","Polig. Ind. L’Olana, S/N -APDO.205, Esparreguera (Barcelona), Catalonia, Spain E08292",https://sio-2.com/,,34 93 777 2344,Distributor,"Normalized spelling, address order, and postcode formatting."
Sweden,Hantverk Och Keramik Center AB,"Landskronavägen 783 B, 257 30 Rydebäck, Sweden","Art 4 Fun, Landskronavägen 783 B, SE25730 Rydebäck, Sweden",http://www.art4fun.se,,+46 42 449 95 00,Distributor,"Normalized spelling, address order, and postcode formatting."
Switzerland,Michel Keramikbedarf,"Lerchenhalde 73, 8046 Zürich, Switzerland","Lerchenhalde 73, CH 8046 Zurich, Switzerland",http://www.keramikbedarf.ch,,011 41 44 372 1616,Distributor,"Normalized spelling, address order, and postcode formatting."
United Kingdom,Bath Potters’ Supplies,"Unit 18, Fourth Avenue, Westfield Trading Estate, Radstock, Bath BA3 3XE, United Kingdom","Unit 18, 4th Ave., Westfield Trading Estate, Radstock, Nr Bath BA3 3XE",http://bathpotters.co.uk/,,44 1761 411077,Distributor,"Normalized spelling, address order, and postcode formatting."
United Kingdom,EM Richford LTD,"Unit 9, Ballingdon Industrial Estate, Sudbury, Suffolk CO10 2DX, United Kingdom","UNIT 9 BALLINGDON IND.EST., FORMER SHARP LABELS BUILDING, SUDBURY, SUFFOLK C010 2DX",http://www.countryloveceramics.co.uk/,,44 1235 861700,Distributor,Corrected postcode typo C010 to CO10 and normalized address.
United Kingdom,Hot Clay,"3 Havyat Park, Havyat Road, Wrington, Bristol BS40 5PA, United Kingdom","5 Havyat Park, Havyat Rd., Wrington BS40 5PA",http://hot-clay.com/,,44 1934 863040,Distributor,Updated street number from Spectrum’s 5 to the current listed number 3.
United Kingdom,POTTERY CRAFTS LIMITED,"Campbell Road, Stoke-on-Trent, Staffordshire ST4 4ET, United Kingdom","CAMPBELL ROAD, STOKE-ON-TRENT,, STAFFORDSHIRE ST4 4ET",http://potterycrafts.co.uk/,,44 1782 74500,Distributor,"Normalized spelling, address order, and postcode formatting."
United Kingdom,Potclays Ltd.,"Brickkiln Lane, Etruria Road, Stoke-on-Trent, Staffordshire ST4 6JW, United Kingdom","Brickkiln Ln, Etruria, Stoke-on-Trent, Staffordshire ST4 7BP",http://potclays.co.uk/,,44 1782 219816,Distributor,Updated postcode from Spectrum’s ST4 7BP to current ST4 6JW.
United Kingdom,SPECIALIST CRAFTS LIMITED,"Hamilton House, Mountain Road, Leicester LE4 9HQ, United Kingdom","HAMILTON HOUSE, MOUNTAIN RD, LEICESTER LE4 9HQ",http://specialistcrafts.co.uk/,,44 116 274 4762,Distributor,"Normalized spelling, address order, and postcode formatting."
United Kingdom,Scarva Pottery,"Unit 20, Scarva Road Industrial Estate, Scarva Road, Banbridge, County Down BT32 3QD, United Kingdom","Un. 20. Scarva Rd. Ind. Estate, Banbridge, Co.Down, N. Ireland, BT32 3QD",http://www.scarvapottery.com/,,44 28406 69699,Distributor,"Normalized spelling, address order, and postcode formatting."
