country,region,name,address,source_address,website_as_listed,email_as_listed,phone_as_listed,fax_as_listed,product_line,type,address_note,source_url
United States,Alabama,Alabama Art Supply,"1006 23rd St. S, Birmingham, AL 35205, United States","1006 23rd St. S, Birmingham, AL 35205",https://www.alabamaart.com/,,(205) 322-4741,(205) 254-3116,Glaze,Distributor,,https://www.spectrumglazes.com/alabama/
United States,Arizona,Santa Theresa Tileworks,"440 N.6th Ave., Tucson, AZ 85705, United States","440 N.6th Ave., Tucson, AZ 85705",https://www.santatheresatileworks.com/,,(520) 623-8640,(520) 623-8682,Glaze,Distributor,,https://www.spectrumglazes.com/arizona/
United States,California,Clay People,"623 S 32nd ST, Richmond, CA 94804, United States","623 S 32nd ST, Richmond, CA 94804",https://claypeople.net/,,(510) 236-1492,(510) 236-2777,Glaze,Distributor,,https://www.spectrumglazes.com/california/
United States,California,Creative Ceramics & Glass,"5240 Aero Dr., Santa Rosa, CA 95403, United States","5240 Aero Dr., Santa Rosa, CA 95403",https://creativeceramicsandglass.com/,,(707) 545-6528,(707) 545-0760,Glaze,Distributor,,https://www.spectrumglazes.com/california/
United States,Colorado,Stone Leaf Pottery,"6611 WEST 58th PLACE, Arvada, CO 80003, United States","6611 WEST 58th PLACE, Arvada, CO 80003",https://stoneleafpottery.com/,,(303) 463-8081,(303) 463-6005,Glaze,Distributor,,https://www.spectrumglazes.com/colorado/
United States,Florida,Axner Co.,"490 Kane Court, Oviedo, FL 32765, United States","490 Kane Court, Oviedo, FL 32765",https://www.axner.com/,,(407) 365-2600,(407) 365-5573,Glaze,Distributor,,https://www.spectrumglazes.com/florida/
United States,Florida,Highwater Clay -Florida,"3635 131st AVE N, CLEARWATER, FL 33762, United States","3635 131st AVE N, CLEARWATER, FL 33762",https://highwaterclays.com/,,(727) 553-9344,(727) 553-9346,Glaze,Distributor,,https://www.spectrumglazes.com/florida/
United States,Florida,Ceramic Supply Florida,"14605 49th Street North, Clearwater, FL 33762, Email: [email protected], United States","14605 49th Street North, Clearwater, FL 33762, Email: [email protected]",https://ceramicsupplyflorida.com/,,(813) 450-6240,,Glaze,Distributor,,https://www.spectrumglazes.com/florida/
United States,Florida,"Atlantic Pottery Supply, Inc.","1904 Debarry Avenue, Orange Park, Florda 32073, Email: [email protected], United States","1904 Debarry Avenue, Orange Park, Florda 32073, Email: [email protected]",https://www.atlanticpotterysupply.com/,,,,Glaze,Distributor,,https://www.spectrumglazes.com/florida/
United States,Georgia,Davens Ceramic Center,"5076 Peachtree Rd., Atlanta, GA 30341-3134, United States","5076 Peachtree Rd., Atlanta, GA 30341-3134",http://davensceramiccenter.com/,,(770) 451-2105,(770) 455-7012,Glaze,Distributor,,https://www.spectrumglazes.com/georgia/
United States,Illinois,Ceramic Supply of Chicago,"2480 Delta Lane, Elk Grove Village, IL 60007, United States","2480 Delta Lane, Elk Grove Village, IL 60007",https://ceramicsupplychicago.com/,,(847) 425-1900,(847) 332-2575,Glaze,Distributor,,https://www.spectrumglazes.com/illinois/
United States,Illinois,DICK BLICK ART MATERIALS,"PO BOX 1267, GALESBURG, IL 61402-1267, United States","PO BOX 1267, GALESBURG, IL 61402-1267",https://www.dickblick.com/,,(800) 828-4548,(800) 621-8293,Glaze,Distributor,,https://www.spectrumglazes.com/illinois/
United States,Indiana,Brickyard Ceramics,"6060 Guion Rd., Indianapolis, IN 46254, United States","6060 Guion Rd., Indianapolis, IN 46254",,,(888) 677-3289,(317) 429-5319,Glaze,Distributor,,https://www.spectrumglazes.com/indiana/
United States,Kansas,Bracker’s Good Earth,"1831 E.1450th Rd., Lawrence, KS 66044, United States","1831 E.1450th Rd., Lawrence, KS 66044",https://www.brackers.com/,,(888) 822-1982,(785) 841-8142,Glaze,Distributor,,https://www.spectrumglazes.com/kansas/
United States,Kansas,Evans Ceramic Supply,"Starlite Mold Company, 1518 S. Washington, Wichita, KS 67211, United States","Starlite Mold Company, 1518 S. Washington, Wichita, KS 67211",https://evansceramics.com/,,(316) 262-2551 or (316) 262-3350,(316) 262-1396,Glaze,Distributor,,https://www.spectrumglazes.com/kansas/
United States,Louisiana,CREATIVE CRAFTS,"9370 FLORIDA BLVD, BATON ROUGE, LA 70815, United States","9370 FLORIDA BLVD, BATON ROUGE, LA 70815",https://www.creative-crafts.com/,,(225) 344-9831,,Glaze,Distributor,,https://www.spectrumglazes.com/louisiana/
United States,Louisiana,Southern Pottery,"2721 W.Purdue, Baton Rouge, LA 70814, United States","2721 W.Purdue, Baton Rouge, LA 70814",,,(225) 932-9457,(225) 932-9446,Glaze,Distributor,,https://www.spectrumglazes.com/louisiana/
United States,Maryland,CLAYWORKS SUPPLIES INC.,"4625 FALLS RD, BALTIMORE, MD 21209, United States","4625 FALLS RD, BALTIMORE, MD 21209",https://www.clayworkssupplies.com/,,(410) 235-5998,(410) 235-6061,Glaze,Distributor,,https://www.spectrumglazes.com/distributors/spectrum-distributors-in-the-united-states/maryland/
United States,Massachusetts,Sheffield Pottery,"150 SHEFFIELD EGREMONT RD, Sheffield, MA 01257, United States","150 SHEFFIELD EGREMONT RD, Sheffield, MA 01257",https://www.sheffield-pottery.com/Default.asp,,(888) 774-2529,(413) 229-0200,Glaze,Distributor,,https://www.spectrumglazes.com/massachusetts/
United States,Michigan,Pottery Lane,"401 Hall St SW, Suite 140B, Grand Rapids, MI 49525, United States","401 Hall St SW, Suite 140B, Grand Rapids, MI 49525",http://www.potterylanegr.com,,(616) 490-5351,,Glaze,Distributor,,https://www.spectrumglazes.com/michigan/
United States,Michigan,Runyan Pottery Supply,"Clio Industrial Park, 820 Tacoma Court, Clio, MI 48420, United States","Clio Industrial Park, 820 Tacoma Court, Clio, MI 48420",http://www.runyanpotterysupply.com/,,(810) 687-4500,(810) 687-4512,Glaze,Distributor,,https://www.spectrumglazes.com/michigan/
United States,Michigan,ROVIN CERAMICS,"253 DINO DRIVE, STE.A, ANN ARBOR, MI 48103, United States","253 DINO DRIVE, STE.A, ANN ARBOR, MI 48103",http://rovinceramics.com/,,(734) 424-3345,,Glaze,Distributor,,https://www.spectrumglazes.com/michigan/
United States,Minnesota,Continental Clay Co.,"1101 Stinson Blvd. NE,, Minneapolis, MN 55413, United States","1101 Stinson Blvd. NE,, Minneapolis, MN 55413",http://continentalclay.com/,,(800) 432-2529,(612) 331-8564,Glaze,Distributor,,https://www.spectrumglazes.com/minnesota/
United States,Mississippi,Dogwood Ceramics,"12590 Dedeaux Rd., Gulfport, MS 39503, United States","12590 Dedeaux Rd., Gulfport, MS 39503",https://www.dogwoodceramics.com/,,(228) 831-4848,(228) 831-3111,Glaze,Distributor,,https://www.spectrumglazes.com/mississippi/
United States,Mississippi,Magnolia Pottery Supply,"3995 Hwy 80, Vicksburg, MS 39180, United States","3995 Hwy 80, Vicksburg, MS 39180",http://magnoliapotterysupply.com/,,(601) 634-0498,(601) 629-3906,Glaze,Distributor,,https://www.spectrumglazes.com/mississippi/
United States,Missouri,Krueger Pottery Supply,"1449 STRASSNER DR., BRENTWOOD, MO 63144, United States","1449 STRASSNER DR., BRENTWOOD, MO 63144",https://www.kruegerpottery.com/,,(314) 963-0180,(314) 963-7712,Glaze,Distributor,,https://www.spectrumglazes.com/missouri/
United States,Nevada,Clay Arts Vegas,"1353 ARVILLE ST., LAS VEGAS, NV 89102, United States","1353 ARVILLE ST., LAS VEGAS, NV 89102",http://clayartsvegas.com/,,(702) 375-4147,,Glaze,Distributor,,https://www.spectrumglazes.com/nevada/
United States,New Jersey,Ceramic Supply Inc.,"7 Route 46 W., Lodi, NJ 07644, United States","7 Route 46 W., Lodi, NJ 07644",http://eceramicsupply.com/,,(973) 340-3005,(973) 340-0089,Glaze,Distributor,,https://www.spectrumglazes.com/new-jersey/
United States,New Mexico,New Mexico Clay,"3300 Gerard NE, Albuquerque, NM 87107, United States","3300 Gerard NE, Albuquerque, NM 87107",https://nmclay.com/,,(505) 881-2350,(505) 881-6067,Glaze,Distributor,,https://www.spectrumglazes.com/new-mexico/
United States,New York,Bailey Pottery,"62 Tenbroeck Ave., Kingston, NY 12401, United States","62 Tenbroeck Ave., Kingston, NY 12401",http://baileypottery.com,,(800) 431-6067,(845) 339-5530,Glaze,Distributor,,https://www.spectrumglazes.com/new-york/
United States,New York,Studio Sales Pottery,"5557 Avon East Avon Rd., Avon, NY 14414, United States","5557 Avon East Avon Rd., Avon, NY 14414",http://studiosalespottery.com/,,(585) 226-3030,(585) 226-3122,Glaze,Distributor,,https://www.spectrumglazes.com/new-york/
United States,North Carolina,Carolina Clay,"208 N POLK ST., PINEVILLE, NC 28134, Email: [email protected], United States","208 N POLK ST., PINEVILLE, NC 28134, Email: [email protected]",,,(704) 376-7221,(704) 376-6824,Glaze,Distributor,,https://www.spectrumglazes.com/north-carolina/
United States,North Carolina,Highwater Clays,"600 Riverside Dr., Asheville, NC 28801, United States","600 Riverside Dr., Asheville, NC 28801",https://highwaterclays.com/,,(828) 252-6033,(828) 253-3853,Glaze,Distributor,,https://www.spectrumglazes.com/north-carolina/
United States,North Carolina,Fat Cat Pottery,"2500 BLUE CLAY RD, WILMINGTON, NC 28405, United States","2500 BLUE CLAY RD, WILMINGTON, NC 28405",http://fatcatpottery.com/,,(910) 395-2529,(910) 395-4684,Glaze,Distributor,,https://www.spectrumglazes.com/north-carolina/
United States,Ohio,CORNELL STUDIO SUPPLY,"8290 NORTH DIXIE DRIVE, DAYTON, OH 45414, United States","8290 NORTH DIXIE DRIVE, DAYTON, OH 45414",http://cornellstudiosupply.com,,(937) 454-0357,(937) 454-0397,Glaze,Distributor,,https://www.spectrumglazes.com/ohio/
United States,Ohio,QUEEN CITY CLAY,"2760 HIGHLAND AVE., NORWOOD, OH 45212, United States","2760 HIGHLAND AVE., NORWOOD, OH 45212",http://queencityclay.com/,,(513) 871-2529,(513) 871-5576,Glaze,Distributor,,https://www.spectrumglazes.com/ohio/
United States,Oklahoma,BERCHER CERAMIC SUPPLY,"1200 SE 89 STREET, OKLAHOMA CITY, OK 73149, United States","1200 SE 89 STREET, OKLAHOMA CITY, OK 73149",https://stores.bercherceramicsupply.com/,,(405) 634-6922,,Glaze,Distributor,,https://www.spectrumglazes.com/distributors/spectrum-distributors-in-the-united-states/oklahoma/
United States,Oregon,Georgie’s Ceramics,"756 N.E. Lombard, Portland, OR 97211, United States","756 N.E. Lombard, Portland, OR 97211",https://georgies.com/,,(800) 999-2529,(503) 283-1387,Glaze,Distributor,,https://www.spectrumglazes.com/oregon/
United States,Pennsylvania,Ceramic Supply Pittsburgh,"1 Walnut St., Pittsburgh, PA 15106-2440, Email: [email protected], United States","1 Walnut St., Pittsburgh, PA 15106-2440, Email: [email protected]",https://ceramicsupplypittsburgh.com/,,(412) 489-5240,(412) 489-5248,Glaze,Distributor,,https://www.spectrumglazes.com/pennsylvania/
